,Brand Name,Logo,Description,Price,Link
0,Gear Club Direct,https://cdn11.bigcommerce.com/s-e6kwfh/images/stencil/250x100/logogcd2017-newsite_1507997267__17560.original.png,"Ultimate gig lighting convenience, versatility and power is packed into GigBAR Move, a 5-in-1 lighting system that includes moving heads, derbies, washes, a laser and strobe effect pre-mounted on a single bar. That means a complete light show is available from this single system that includes a tripod, wireless footswitch and FREE carry bags to ensure quick setup. The moving heads have separate color and gobo wheels to enhance creative programming possibilities, plus built-in Totem Mode to keep the moving heads focused on the dance floor. Individual control of each effect ensures your show looks the way you need it to and events can be energized with dynamic effects like built-in UV LEDs to illuminate florescent objects and make them pop. Controlling GigBAR Move is also easy. Stand-alone control, DMX, wireless IRC-6 remote or wireless footswitch options are all on board. GigBAR Move is also compatible with GigBAR 2 in master/slave mode for huge coverage and dynamic light shows.",$799.99,https://www.gearclubdirect.com/chauvet-dj-gigbar-move/
0,Knight Sound and lighting,https://cdn11.bigcommerce.com/s-dd19b/images/stencil/400x250/logo_february_2020_1582586375__23682.original.png,"Ultimate gig lighting convenience, versatility and power is packed into GigBAR Move, a 5-in-1 lighting system that includes moving heads, derbies, washes, a laser and strobe effect pre-mounted on a single bar. That means a complete light show is available from this single system that includes a tripod, wireless footswitch and FREE carry bags to ensure quick setup. The moving heads have separate color and gobo wheels to enhance creative programming possibilities, plus built-in Totem Mode to keep the moving heads focused on the dance floor. Individual control of each effect ensures your show looks the way you need it to and events can be energized with dynamic effects like built-in UV LEDs to illuminate florescent objects and make them pop. Controlling GigBAR Move is also easy. Stand-alone control, DMX, wireless IRC-6 remote or wireless footswitch options are all on board. GigBAR Move is also compatible with GigBAR 2 in master/slave mode for huge coverage and dynamic light shows.",$799.99,https://goknight.com/chauvet-dj-gigbarmove-gig-bar-move/
0,Farralane,https://www.farralane.com/pub/media/logo/stores/1/farralane_logo-.png,"The Chauvet DJ GigBAR Move is a 5-in-1 lighting system that includes (2) 10W LED Moving Head Spots, (2) 6 x 5W RGB LED Derby, (2) 6 x 3.5W RGB+UV LED Par, (4) 4 x 5W White+UV LED Strobe, and (1) 100mW Red/30mW Green Laser pre-mounted on a single bar with Tripod. Individual control of each effect ensures your show looks the way you need it to and events can be energized with dynamic effects like built-in UV LEDs to illuminate florescent objects and make them pop. Controlling GigBAR Move is also easy. Stand-alone control, DMX, wireless IRC-6 remote or wireless footswitch options are all on board. GigBAR Move is also compatible with GigBAR 2 in master/slave mode for huge coverage and dynamic light shows. ",$799.99,https://www.farralane.com/chauvet-dj-gigbar-move-5-in-1-moving-head-derby-par-strobe-laser-system.html
0,Musician's Friend,No link,"Welcome the GigBAR Move to Chauvet's lineup of DJ lighting bars. With new moving heads, we at Musician’s Friend are excited to bring you this 5-in-1 lighting system. It’s super easy to set up, and with all the features the GigBAR Move has to offer, it’s is going to make your DJ sets even cooler.

Rotating, moving heads create an amazing show
The GigBAR Move takes the Chauvet GigBAR family up a notch with brand new rotating heads. These heads add to the derbies, LED washes, laser and strobe effect lights for a complete light show. The heads have a 360-degree rotation with a 720-degree flip. They feature separate color and gobo wheels, and with built-in Totem mode, you can rest assured that they’ll stay focused on the dance floor.

Easy to control in your favorite modes
The GigBAR Move has several options for controlling your show. Each lighting effect can be individually controlled so you can program the show you want. When it comes to performance, the GigBAR Move can be operated in stand-alone mode that’s automated or sound-activated, with the option of using the included wireless IRC-6 remote control or wireless footswitch control. It also has optional DMX for a really individualized performance.

Simple setup for a spectacular show
Since all the amazing lighting features of the GigBAR Move are pre-mounted to a single bar, setup is super easy. Simply attach the bar to the included tripod base, plug it in and get playing. The included carry bag keeps everything organized between gigs. Plus, if you need even more lighting for your show, the GigBAR Move can connect to other GigBAR Moves, as well as the GigBAR 2 in master/slave mode.

5-in-1 lighting bar enhances your set
The GigBAR Move makes it simple to have an awesome DJ set. Whether you use one bar for a small venue or link multiple bars together to make a large room illuminate, it has you covered with plenty of great effects.",$799.99,https://www.musiciansfriend.com/pro-audio/chauvet-dj-gigbar-move-5-in-1-led-and-laser-lighting-effects-bar
0,World of Stereo,https://cdn11.bigcommerce.com/s-edf37/images/stencil/400x80/wos_logo_1533785996__59719.original.png,"Ultimate gig lighting convenience, versatility and power is packed into GigBAR Move, a 5-in-1 lighting system that includes moving heads, derbies, washes, a laser and strobe effect pre-mounted on a single bar. That means a complete light show is available from this single system that includes a tripod, wireless footswitch and FREE carry bags to ensure quick setup. The moving heads have separate color and gobo wheels to enhance creative programming possibilities, plus built-in Totem Mode to keep the moving heads focused on the dance floor. Individual control of each effect ensures your show looks the way you need it to and events can be energized with dynamic effects like built-in UV LEDs to illuminate florescent objects and make them pop. Controlling GigBAR Move is also easy. Stand-alone control, DMX, wireless IRC-6 remote or wireless footswitch options are all on board. GigBAR Move is also compatible with GigBAR 2 in master/slave mode for huge coverage and dynamic light shows.", $799.99,https://worldofstereo.com/chauvet-dj-gigbar-move/
0,123 DJ,No Logo Available,"A complete light show in a single system! The Chauvet DJ GigBAR Move 5-in-1 LED system combines moving heads, derbies, washes, a strobe, and a laser, all pre-mounted on a single bar. Everything you need to set up is included, such as a tripod, wireless footswitch, and even a carry bag. You have full control over each individual effect, and dynamic effects such as built-in UV LEDs give you even more creative options. Whether you control it via DMX, from the wireless footswitch, or directly from the fixtures themselves, the Chauvet DJ GigBAR Move packs maximum lighting functionality into a minimum of space.", $799.99,https://www.123dj.com/packages/light/chauvet-dj-gig-bar-move-5-in-1-led-lighting-system-with-moving-heads.html
0,Musictrends,https://www.musictrends.com/wp-content/uploads/2015/11/logo-musictrends-tagline.png,"Ultimate gig lighting convenience, versatility and power is packed
into GigBAR Move, a 5-in-1 lighting system that includes moving heads,
derbies, washes, a laser and strobe effect pre-mounted on a single bar.
That means a complete light show is available from this single system
that includes a tripod, wireless footswitch and FREE carry bags to
ensure quick setup. The moving heads have separate color and gobo wheels
to enhance creative programming possibilities, plus built-in Totem Mode
to keep the moving heads focused on the dance floor. Individual control
of each effect ensures your show looks the way you need it to and
events can be energized with dynamic effects like built-in UV LEDs to
illuminate florescent objects and make them pop. Controlling GigBAR Move
is also easy. Stand-alone control, DMX, wireless IRC-6 remote or wireless footswitch options are all on board. GigBAR Move is also compatible with GigBAR 2 in master/slave mode for huge coverage and dynamic light show",$799.99,https://www.musictrends.com/product/gig-bar-move/
0,VMinnovations,"https://www.vminnovations.com/res/d4def80178e84f9ebfe8ba9e1370583d.svg, /res/a8b9800d384043ef8d012ce5f8508639.search2.svg, /res/ffef58e04dd046338870fbbc2d3c2184.bag.svg, /res/045206ba3f7d492ba6a8afacdfc3cae7.gif, /res/8bc1dbea074e491f9915036aaffb7c9d.account.svg, None, /res/a8b9800d384043ef8d012ce5f8508639.search2.svg, /res/f9ef16ce297a4a66a8e8f492062ae588.png]","Hit the stage as a professional with the CHAUVET DJ Gig Bar Move 5-in-1 LED Lighting System with 2 Moving Heads.-This gig lighting system is versatile and powerful enough to take your show or gig to new heights. This 5-in-1 system includes moving heads, derbies, washes, a laser, and a strobe effect pre-mounted on a single bar. That means you'll have access to a complete light show in one single piece of equipment.-The Totem Mode keeps the moving heads focused while in use, while the built-in UV LEDs illuminate objects and make them really pop. Plus, you'll get a tripod, wireless footswitch, and carry bags to ensure quick setup.-Take your show to new heights with the CHAUVET DJ Gig Bar Move 5-in-1 LED Lighting System with 2 Moving Heads. --Manufacturer warranty: 2-year warranty-",$799.99,https://www.vminnovations.com/Product_161829/CHAUVET-DJ-Gig-Bar-Move-5-in-1-LED-Lighting-System-with-2-Moving-Heads-Black.html
0,Sam Ash,https://www.samash.com/wcsstore/SamAsh/Attachment/images/SA-LOGO-032019.jpg," 5 in 1 Lighting System that includes moving heads, derbies, washes, a laser and strobe effect pre mounted on a single bar.  Features: 5 in 1 lighting system Separate Color and Gobo Wheels allow for creative programmingActivate the Built in Totem Mode to keep the Moving Heads focused on the Dance FloorSystem includes a tripod, wireless footswitch, and carry bag to ensure quick set up Florescent objects and make them popIncludes moving heads, derbies, washes, laser, and strobe effect Get your Chauvet DJ Gig Bar Move Lighting Effect today at the guaranteed lowest price from Sam Ash with our 45-day return and 60-day price protection policy.
",$799.99,https://www.samash.com/chauvet-dj-gigbar-move-lighting-effect-cgigbarmo-p
0,Gigasonic,includes/templates/template_default/images/logo_lc.gif,"Chauvet DJ GigBAR Move 5-in-1 Lighting System includes a pair of moving head fixtures, a pair of RGB LED derby fixtures, a pair of RGB+UV LED PARs, a red and green laser, and four white/UV strobes, all mounted on a single bar and supported by the included tripod. The moving heads have separate color and gobo wheels to enhance creative programming possibilities, plus built-in Totem Mode to keep the moving heads focused on the dance floor. Individual control of each effect ensures your show looks the way you need it to and events can be energized with dynamic effects like built-in UV LEDs to illuminate florescent objects and make them pop. Controlling GigBAR Move is also easy. Stand-alone control, DMX, wireless IRC-6 remote or wireless footswitch options are all on board. GigBAR Move is also compatible with GigBAR 2 in master/slave mode for huge coverage and dynamic light shows. 
 Item Includes 
 Chauvet DJ GigBAR Move Power Cord IRC-6 Wireless Remote Carry Bag Tripod Stand Tripod Carry Bag Wireless Footswitch 
 Features
5-in-1 lighting system that includes moving heads, derbies, washes, a laser and strobe effect pre-mounted on a single bar Separate color and gobo wheels allow for creative programming Totem Mode keeps the moving heads focused on the dance floor Easy navigation and access to all functions, directly from the full-color LCD display System includes a tripod, wireless footswitch and FREE carry bags to ensure quick setup Built-in UV LEDs illuminate florescent objects and make them pop Individual control of each effect ensures your show looks the way you need it to Easy control via stand-alone, DMX, wireless IRC-6 remote or wireless footswitch  Compatible with the GigBAR 2 in master/slave for huge coverage and dynamic light shows
 Specification
DMX Channels: 3, 17 or 35
DMX Connectors: 3-pin XLR
Pan and Tilt: 540°/180°
Colors:  
(moving head): 7 + white
(moving head): 7 + open
Light Source: 
(pars): 6 LEDs (quad-color RGB + UV) 3.5 W (1 A), 50,000 hours life expectancy
(strobe): 4 LEDs (dual-color white + UV) 5 W (1.5 A), 50,000 hours life expectancy
(derby): 6 LEDs (2 red, 2 green, 2 blue) 5 W (1.6 A), 50,000 hours life expectancy
(moving head): 1 LED (cool white) 10 W (2.3 A), 50,000 hours life expectancy
(laser): 650nm/100 mW (red) laser diode, 532 nm/30 mW (green) laser diode
Strobe Rate: (all effects): 0 to 20 Hz
Beam Angle:  
(moving head): 11° 
(pars): 19° 
(strobe): 8°
Field Angle:  
(pars): 30° 
(strobe): 18°
Coverage Angle:  
(derby): 131° 
(laser): 93°
Fits Tripod Size: 1.5 in (37.4 mm)
Illuminance:  
(pars): 1,205 lux @ 2 m (per par)
(moving head): 1056 lux @ 2 m (per head)
(strobe): 86 lux @ 2 m (per zone)
Power Linking: 7 units @ 120 V; 12 units @ 230 V
Input Voltage: 100 to 240 VAC, 50/60 Hz (auto-ranging)
Power and Current: 
81 W, 1.1 A @ 120 V, 60 Hz 
79 W, 0.6 A @ 230 V, 50 Hz
Weight: 23.4 lb (10.7 kg)
Size: 43 x 5.7 x 17.7 in (1100 x 144 x 449 mm)pprovals: CE, FDA, FCC
Stand Height: 4.8 ft to 8.3 ft (1.5 to 2.5 m)
Footswitch Operating Frequency: 433 MHz
Footswitch Max Unobstructed Distance: 100 ft (30.5 m)
F>ootswitch Battery: 9 V alkaline
Included Controllers: IRC-6, wireless footswitch",$799.99,https://www.gigasonic.com/gigbar-move.html
